observed_on_string,observed_on,latitude,longitude,positional_accuracy,geoprivacy,scientific_name
2019-04-19 3:23:46 PM CDT,2019-04-19,39.1210136414,-88.5614547729,,,Lamium amplexicaule
Fri Apr 19 2019 19:38:51 GMT-0400 (EDT),2019-04-19,39.9051283333,-86.2289966667,10,,Lamium amplexicaule
Tue Apr 16 2019 15:44:16 GMT-0400 (EDT),2019-04-16,38.9288697908,-77.0002469404,40,,Lamium amplexicaule
2019/04/19 9:31 AM EDT,2019-04-19,39.0011246912,-79.0842869197,8,,Lamium amplexicaule
Sun Apr 21 2019 08:45:22 GMT-0400 (EDT),2019-04-21,40.8734133333,-73.919175,10,,Lamium amplexicaule
Sun Apr 21 2019 11:24:30 GMT-0400 (EDT),2019-04-21,40.89365,-74.01175,16,,Lamium amplexicaule
2019/04/21 8:08 AM EDT,2019-04-21,40.027005,-75.01228165,,,Lamium amplexicaule
2019/04/19 6:44 PM MDT,2019-04-19,32.3344935584,-106.5963008118,4,,Lamium amplexicaule
Sun Apr 21 2019 14:27:41 GMT-0400 (EDT),2019-04-21,39.1711083333,-86.5310666667,10,,Lamium amplexicaule
Thu Apr 25 2019 11:38:52 GMT-0400 (EDT),2019-04-25,42.3125063608,-71.0412640455,19,,Lamium amplexicaule
Fri Apr 26 2019 06:33:33 GMT-0400 (EDT),2019-04-26,42.31237,-71.037225,6,,Lamium amplexicaule
2019-04-26 10:08:39 AM EDT,2019-04-26,38.49226119,-76.59014199,9,,Lamium amplexicaule
2019-04-26 11:31:25 AM CDT,2019-04-26,35.2070797598,-101.9220512733,44,,Lamium amplexicaule
Fri Apr 26 2019 13:45:06 GMT-0500 (CDT),2019-04-26,38.8368632505,-89.9899028242,5,,Lamium amplexicaule
Sat Apr 27 2019 07:39:43 GMT-0400 (EDT),2019-04-27,40.748975,-74.0093777833,10,,Lamium amplexicaule
Sat Apr 27 2019 09:03:33 GMT-0400 (EDT),2019-04-27,40.7523033333,-74.0082166667,10,,Lamium amplexicaule
2019-04-27 12:31:39 PM CDT,2019-04-27,33.252045,-97.1474337,26,,Lamium amplexicaule
Sun Apr 28 2019 10:40:48 GMT-0400 (EDT),2019-04-28,40.7394866667,-74.0102222167,10,,Lamium amplexicaule
Sun Apr 28 2019 09:46:10 GMT-0400 (EDT),2019-04-28,38.8688666667,-76.999725,10,,Lamium amplexicaule
2019-04-28 11:46:24 AM CDT,2019-04-28,32.98365501,-97.39892754,3,,Lamium amplexicaule
Sun Apr 28 2019 10:48:45 GMT-0600 (MDT),2019-04-28,40.6744884001,-111.8074651995,10,,Lamium amplexicaule
Sun Apr 28 2019 12:08:30 GMT-0500 (CDT),2019-04-28,32.7530678362,-97.0647295845,5,,Lamium amplexicaule
Sun Apr 28 2019 09:08:09 GMT-0500 (CDT),2019-04-28,32.784695,-97.1265805,8,,Lamium amplexicaule
Sun Apr 28 2019 13:49:38 GMT-0600 (MDT),2019-04-28,39.6760424462,-104.9531516969,24,,Lamium amplexicaule
2019-04-28 9:16:02 AM EDT,2019-04-28,40.8905563354,-73.8966674805,,,Lamium amplexicaule
2019/04/27 5:10 PM EDT,2019-04-27,40.6033972222,-73.9320527778,5,,Lamium amplexicaule
Sun Apr 28 2019 07:57:53 GMT-0700 (PDT),2019-04-28,45.3052783333,-120.9552383333,16,,Lamium amplexicaule
2019/04/28 3:06 PM -0600,2019-04-28,39.678943,-104.9596883,190,,Lamium amplexicaule
2019/02/02 3:17 PM CST,2019-02-02,32.5543539999,-97.6814717557,,obscured,Lamium amplexicaule
Sat Apr 27 2019 17:32:39 GMT-0500 (CDT),2019-04-27,38.642425,-90.2762666667,10,,Lamium amplexicaule
2019-04-28 5:32:55 PM EDT,2019-04-28,35.67045455,-79.49432118,13,,Lamium amplexicaule
2019-04-28 10:19:49 AM CDT,2019-04-28,32.7628027881,-96.8480073474,16,,Lamium amplexicaule
Sun Apr 28 2019 12:36:19 GMT-0400 (EDT),2019-04-28,40.8907616667,-73.8964166667,10,,Lamium amplexicaule
Sun Apr 28 2019 12:06:13 GMT-0400 (EDT),2019-04-28,40.8323116667,-73.946555,30,,Lamium amplexicaule
Sun Apr 28 2019 12:04:56 GMT-0400 (EDT),2019-04-28,40.8317133333,-73.9467916667,10,,Lamium amplexicaule
2019-04-28 6:07:03 PM CDT,2019-04-28,38.5095581716,-90.2112856507,33,,Lamium amplexicaule
Sun Apr 28 2019 18:08:51 GMT-0600 (MDT),2019-04-28,40.7793255151,-111.9288662543,5,,Lamium amplexicaule
2019-04-28 7:28:36 PM MDT,2019-04-28,40.80810249,-111.93990338,9,,Lamium amplexicaule
Sun Apr 28 2019 16:08:12 GMT-0600 (MDT),2019-04-28,40.7450147393,-111.880523963,5,,Lamium amplexicaule
2019/04/28 11:23 AM EDT,2019-04-28,35.7725054,-78.5428389,194,,Lamium amplexicaule
2019/04/28 4:38 PM MDT,2019-04-28,40.5360024,-111.8670645,216,,Lamium amplexicaule
2019/04/27 3:35 PM EDT,2019-04-27,35.8134104194,-78.7635835683,10,obscured,Lamium amplexicaule
Sun Apr 28 2019 15:56:01 GMT-0400 (EDT),2019-04-28,37.943805,-87.452705,5,,Lamium amplexicaule
Sun Apr 28 2019 11:29:09 GMT-0700 (PDT),2019-04-28,37.3416283333,-121.6412883333,8,,Lamium amplexicaule
Fri Apr 26 2019 19:19:07 GMT-0600 (MDT),2019-04-26,40.7091366667,-111.8686083333,,,Lamium amplexicaule
2019/04/26 12:06 PM CDT,2019-04-26,35.2366883333,-101.663615,,,Lamium amplexicaule
Mon Apr 29 2019 08:24:49 GMT-0600 (MDT),2019-04-29,40.7704835005,-111.8748025123,32,,Lamium amplexicaule
2019-04-28 2:05:03 PM EDT,2019-04-28,39.8719711304,-86.0159225464,,,Lamium amplexicaule
Mon Apr 29 2019 10:54:27 GMT-0400 (EDT),2019-04-29,35.365295,-80.592645,10,,Lamium amplexicaule
2019/04/26 2:39 PM CDT,2019-04-26,35.233595,-101.662595,,,Lamium amplexicaule
Mon Apr 29 2019 11:27:13 GMT-0500 (CDT),2019-04-29,40.1038515284,-88.2256618336,32,,Lamium amplexicaule
Mon Apr 29 2019 12:39:12 GMT-0400 (EDT),2019-04-29,35.410440811,-80.5687798654,5,,Lamium amplexicaule
2019/04/27 11:23 AM -0600,2019-04-27,40.0452566633,-105.1836045201,330,,Lamium amplexicaule
Mon Apr 29 2019 08:27:15 GMT-0600 (MDT),2019-04-29,35.1469195,-106.6813283333,5,,Lamium amplexicaule
Mon Apr 29 2019 18:38:34 GMT-0400 (EDT),2019-04-29,39.5841083676,-85.7330883388,5,,Lamium amplexicaule
Mon Apr 29 2019 16:47:54 GMT-0600 (MDT),2019-04-29,40.6636330456,-111.9594451267,64,,Lamium amplexicaule
